Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.390233,1.581898,1.400521,1.554946,0.859391,0.933343,0.415462,0.04986,0.189117,0.07668,0.081642,0.113165,0.174365,0.073043,0.203241,0.186272,0.04019,0.159018,0.158907,0.087208,0.05295,0.119171,0.045489,0.131878,0.078414,0.066034,0.056865,0.086392,0.078928,0.095073,0.081571,0.115371,0.035376,0.126237,0.046418,0.047224,0.045477,0.042628,0.082366,0.064797,0.089849,0.048886,0.075717,0.085752,0.088422,0.059045,0.046009,0.06164,0.098176,0.08913,0.025551,0.069926,0.081495,0.07176,0.095753,0.08527,0.053347,0.073693,0.052527,0.051055,0.097481,0.074062,0.106537,0.082678,0.06344,0.037497,0.057207,0.105012,0.056488,0.095321,0.074744,0.100681,0.079695,0.10023,0.284017,0.071301,0.045478,0.083949,0.063825,0.045562,0.100594,0.07873,0.064138,0.158246,0.060127,0.059096,0.152931,0.110007,0.096484,0.151503,0.075507,0.160423,0.099065,0.086349,0.116526,0.086904,0.218915,0.063342,0.194957,0.168748,0.175407,0.170109,0.167092,0.099197,0.020838,0.205072,0.087956,0.089009,0.060235,0.14737,0.205962,0.106629,0.188261,0.14513,0.045131,0.032497,0.151333,0.124517,0.079153,0.070781,-0.0017,0.105342,0.064797,0.081205,0.037747,0.147893,0.122096,0.201586,0.158143,0.195995,0.050735,0.158235,0.055436,0.155633,0.052794,0.048397,0.179927,0.174701,0.176019,0.135605,0.059384,0.128481,0.191792,0.172622,0.182055,0.141118,,,,
1,2.159451,0.133245,0.100554,0.108239,0.713742,0.746639,1.034029,1.055341,0.11239,0.121237,0.129123,0.117688,0.148449,0.151906,0.104456,0.115059,0.13526,0.439616,0.198807,0.245293,0.417251,0.217001,0.240607,0.088306,0.215701,0.227618,0.22051,0.222312,0.248567,0.235925,0.227068,0.215226,0.217119,0.202941,0.216374,0.255446,0.180057,0.218216,0.225571,0.216699,0.229082,0.208909,0.213789,0.203726,0.1945,0.184744,0.221456,0.218236,0.217974,0.200174,0.196754,0.221251,0.235635,0.260926,0.167229,0.218482,0.217697,0.245107,0.209546,0.221819,0.234885,0.199835,0.253373,0.196941,0.205779,0.233771,0.216715,0.239708,0.225063,0.216574,0.208164,0.247599,0.192067,0.240033,0.213466,0.208771,0.212135,0.244931,0.219955,0.237303,0.17668,0.223792,0.218023,0.252776,0.24483,0.211436,0.239305,0.188273,0.221845,0.210867,0.42438,0.428337,0.177647,0.215324,0.406272,0.422173,0.195401,0.244831,0.198854,0.401777,0.408735,0.221501,0.224787,0.429733,0.423111,0.414198,0.195745,0.233622,0.214963,0.423248,0.435147,0.217251,0.186565,0.190772,0.423362,0.443575,0.430169,0.434564,0.222721,0.190493,0.44531,0.447378,0.214814,0.223895,0.270252,0.414266,0.258689,0.228536,0.507372,0.190632,0.232466,0.409322,0.246288,0.383686,0.442876,0.418818,0.440047,0.37417,0.227657,0.181739,0.415364,0.243176,0.20651,0.430383,0.20279,0.247357,,,,
2,1.036333,0.661493,0.688354,0.591309,0.259047,0.114814,0.124594,0.121268,0.057389,0.115977,0.022611,0.056626,0.014087,0.041346,0.116707,0.149213,0.123215,0.156097,0.12701,0.12329,0.120921,0.128247,0.005646,0.021817,0.064504,0.032521,0.103241,0.041143,0.049216,0.041561,0.100164,0.126883,0.021637,0.011407,0.114501,0.040283,0.123757,0.067515,0.036506,0.054598,0.041265,0.042737,0.081032,0.150882,0.034509,0.114621,0.0382,0.016428,0.099023,0.114864,0.030061,0.120557,0.148304,0.120827,0.080522,0.031849,0.120542,0.039996,0.013752,0.120681,0.011889,0.005904,0.002106,0.051502,0.088817,0.062177,0.184351,0.046609,-0.024874,0.081593,0.095664,0.119431,0.124157,0.017164,0.001929,0.066646,0.073923,0.05328,0.040406,0.090381,0.012716,0.041369,0.033695,0.023397,0.058258,0.099184,0.075226,0.066013,0.057581,0.086252,0.066762,0.020772,0.038285,0.027647,0.082593,0.004815,0.016617,0.059627,0.007214,0.077218,0.005588,0.069428,0.046172,0.042735,0.12878,0.043824,0.023028,0.104858,0.04212,0.050984,0.005787,0.052437,0.034168,0.052159,0.039765,0.040889,0.049842,0.04606,0.041556,0.04024,0.084772,0.012417,0.114505,0.063304,0.120295,0.041874,0.071976,0.039739,0.007406,0.036237,0.053376,0.094293,0.053955,0.079024,0.032715,0.095639,0.016944,0.057154,0.039598,0.037614,0.068976,0.110806,0.096443,0.034167,0.077111,0.118648,,,,
3,3.05286,0.817795,0.794021,0.794745,0.795761,0.799397,0.7996,0.684304,0.874357,0.651113,0.870576,0.666735,0.649578,0.64136,0.654322,0.606096,0.681711,0.638941,0.668847,0.555242,0.786265,0.691117,0.679075,0.696147,0.703571,0.682092,0.553298,0.690005,0.524703,0.530782,0.664769,0.672328,0.448417,0.498821,0.665335,0.527273,0.266595,0.380052,0.385346,0.375001,0.367368,0.379648,0.368616,0.389563,0.406865,0.395938,0.386347,0.362446,0.355931,0.376762,0.407703,0.43102,0.372378,0.363588,0.386836,0.418138,0.405844,0.373518,0.41374,0.254073,0.378354,0.375966,0.380384,0.390636,0.381864,0.393064,0.249002,0.378012,0.368226,0.401965,0.296171,0.272973,0.292101,0.38809,0.312219,0.248884,0.278586,0.376319,0.276709,0.262664,0.420227,0.406489,0.288434,0.387806,0.388433,0.422764,0.376344,0.366383,0.293386,0.300923,0.254951,0.373785,0.267365,0.392258,0.240712,0.29329,0.248243,0.351766,0.262831,0.263085,0.253958,0.236354,0.233753,0.228881,0.240124,0.252499,0.267538,0.235997,0.244458,0.347405,0.25941,0.264496,0.230734,0.276648,0.401489,0.274673,0.26198,0.26443,0.247783,0.242753,0.371126,0.239504,0.206151,0.257108,0.244054,0.258654,0.274532,0.274311,0.266681,0.251164,0.431176,0.219585,0.268282,0.376175,0.361846,0.241628,0.291664,0.235863,0.223593,0.400554,0.263921,0.259655,0.253769,0.281075,0.286022,0.219482,,,,
4,1.301289,1.213789,0.361768,0.37941,0.199417,0.190589,0.162694,0.134484,0.177274,0.157466,0.114798,0.150637,0.179675,0.188954,0.168151,0.173472,0.197973,0.141327,0.149161,0.197797,0.167717,0.194822,0.138338,0.166872,0.188371,0.170983,0.097609,0.157024,0.163934,0.183178,0.160586,0.13824,0.174287,0.169564,0.170024,0.159852,0.148019,0.178789,0.184193,0.150796,0.188047,0.146184,0.16748,0.136075,0.138982,0.132697,0.0998,0.111363,0.199316,0.145335,0.113558,0.167614,0.189644,0.087893,0.119234,0.173323,0.168382,0.086776,0.082659,0.109277,0.089678,0.127415,0.091283,0.103636,0.167079,0.104828,0.113061,0.110612,0.184985,0.148269,0.104398,0.108211,0.140154,0.084322,0.126171,0.093233,0.069726,0.119409,0.123041,0.123422,0.150044,0.203376,0.161046,0.092612,0.056067,0.070334,0.079607,0.185877,0.173709,0.101724,0.100213,0.088205,0.1242,0.11704,0.117731,0.113549,0.08624,0.123604,0.152764,0.119132,0.09442,0.133365,0.130515,0.139909,0.125783,0.113273,0.106279,0.093543,0.098853,0.100455,0.373773,0.093994,0.127851,0.112784,0.101599,0.074358,0.111255,0.389448,0.113602,0.09203,0.116289,0.126618,0.097596,0.125102,0.109391,0.124746,0.111283,0.101065,0.091188,0.128696,0.108825,0.14889,0.139814,0.109354,0.133164,0.10167,0.075982,0.106849,0.092055,0.086984,0.084897,0.082676,0.113061,0.120748,0.112274,0.112705,,,,
5,2.301042,0.906853,0.893614,0.416982,0.427459,0.456323,0.414065,0.430853,0.424374,0.433684,0.438709,0.419743,0.413126,0.459769,0.127067,0.404297,0.420156,0.204889,0.146126,0.163981,0.068488,0.114429,0.116214,0.106287,0.127309,0.12104,0.100423,0.081543,0.077908,0.12299,0.103777,0.078935,0.117142,0.073722,0.092619,0.094608,0.123197,0.121812,0.091756,0.067016,0.09284,0.083654,0.097406,0.140358,0.113498,0.08225,0.109963,0.095547,0.095125,0.101111,0.099556,0.100491,0.076328,0.094706,0.112728,0.101796,0.115665,0.140432,0.091256,0.128709,0.099134,0.138365,0.111183,0.050948,0.097534,0.103958,0.089505,0.043827,-0.016055,0.04904,0.10401,-0.00911,0.00087,-0.008047,0.024827,0.043834,-0.036819,0.043534,0.015179,0.017372,-0.026081,0.09536,0.130625,-0.02653,0.080943,0.013873,-0.00439,0.02164,0.093613,-0.002181,0.113392,0.001709,0.006532,0.071115,0.137248,-0.009418,0.056468,0.106274,0.033219,0.065303,-0.026424,0.014138,0.005922,0.042048,-0.003465,0.163058,-0.016261,0.130566,0.039356,-0.023108,0.028734,0.025385,0.01114,0.005353,0.006554,0.024162,0.001146,0.007791,-0.000251,-0.013421,0.002086,0.08632,0.001361,0.011546,0.137214,0.002739,0.007538,0.034165,0.049244,0.01158,0.032506,0.030372,0.039684,0.014893,0.024316,-0.004978,-0.007594,-0.003559,0.008736,0.112572,-0.017752,-0.039801,0.022949,0.051517,-0.033958,0.024484,,,,
6,2.524038,1.393191,1.188012,1.171527,1.150203,1.149027,1.154983,0.73946,1.145416,0.772683,0.744566,0.577975,0.602504,0.593736,0.599787,0.625093,0.58972,0.597377,0.180545,0.402246,0.23307,0.353975,0.367371,0.314963,0.354515,0.346976,0.13627,0.178148,0.187608,0.20873,0.146043,0.194015,0.175974,0.18421,0.157739,0.175641,0.153773,0.175594,0.202208,0.181839,0.183469,0.171215,0.138617,0.181503,0.189989,0.207431,0.356983,0.185429,0.162611,0.184842,0.179959,0.191386,0.160463,0.206039,0.210628,0.212982,0.223862,0.167933,0.181748,0.166773,0.183048,0.190999,0.163611,0.180689,0.13623,0.181746,0.179596,0.188456,0.235086,0.172064,0.177925,0.174313,0.153928,0.161065,0.178675,0.156126,0.189979,0.161638,0.21201,0.16989,0.167538,0.159354,0.169135,0.214604,0.188412,0.174491,0.174128,0.188295,0.19782,0.214725,0.197373,0.190776,0.184561,0.197407,0.182055,0.141522,0.169963,0.185692,0.192795,0.155835,0.18878,0.178001,0.159615,0.164236,0.204662,0.194623,0.182681,0.201061,0.188165,0.177918,0.171498,0.173596,0.189443,0.184798,0.177656,0.181052,0.154776,0.193939,0.226101,0.172858,0.169541,0.197336,0.185635,0.180867,0.171246,0.211937,0.180486,0.174609,0.198861,0.194853,0.189588,0.216359,0.220243,0.189453,0.183337,0.176844,0.162459,0.189827,0.177292,0.150878,0.143269,0.171617,0.196785,0.18395,0.191219,0.159052,,,,
7,1.042786,1.064688,1.066503,0.837338,0.777908,0.831259,0.832067,0.810478,0.834847,0.363278,0.42855,0.38434,0.308669,0.293958,0.099461,0.039593,0.084017,0.108371,0.152003,0.053087,0.039454,0.125461,0.10997,0.06552,0.070403,0.068654,0.132819,0.146361,0.095993,0.085165,0.084896,0.125239,0.041387,0.11232,0.046455,0.111016,0.114444,0.034009,0.011075,0.0476,0.099172,0.05502,0.057607,0.066683,0.043038,0.056254,0.038014,0.043791,0.058863,0.081076,-0.004656,0.034856,0.066679,0.042212,0.028427,0.040956,0.115252,0.042296,0.061203,0.063331,0.040214,0.053019,0.151221,0.070822,0.044083,0.025739,0.06945,0.108682,0.07109,0.076706,0.066017,0.069805,0.024651,0.04016,0.031198,0.048965,0.042077,0.074215,0.052645,0.042689,0.079106,0.021056,0.071016,0.075372,0.11269,0.021227,0.138677,0.064007,0.030449,0.054327,0.053485,0.106066,0.07093,0.053021,0.060707,0.127024,0.043601,0.081157,0.038892,0.063111,0.066257,0.083377,0.049759,0.092319,0.068079,0.078001,0.061051,0.150223,0.020763,0.052777,0.0338,0.026565,0.101682,0.076206,0.107441,0.068332,0.065339,0.02531,0.100051,0.117485,0.088864,0.017143,0.05764,0.086411,0.061108,0.041852,0.141848,0.140887,0.03723,0.060848,0.090357,0.047571,0.046404,0.061419,0.055049,0.022553,0.056887,0.061314,0.144232,0.06036,0.045932,0.088838,0.099723,0.100201,0.088321,0.04781,,,,
8,2.317644,1.150133,1.3552,1.380896,0.502118,0.419488,0.435108,0.421847,0.409241,0.433972,0.423665,0.461917,0.425118,0.410621,0.460648,0.457957,0.461291,0.678808,0.647883,0.391743,0.412349,0.447576,0.431554,0.649407,0.445377,0.423479,0.432491,0.418594,0.423294,0.440694,0.420347,0.417422,0.466153,0.441916,0.405899,0.432418,0.443081,0.385473,0.392802,0.423709,0.418522,0.399462,0.432203,0.447483,0.424551,0.464838,0.453741,0.433738,0.394327,0.473573,0.417215,0.453339,0.439864,0.407638,0.477936,0.414744,0.44001,0.445593,0.432335,0.45166,0.437318,0.4276,0.399774,0.409183,0.397967,0.42145,0.379329,0.413424,0.343038,0.404541,0.370985,0.392762,0.418094,0.39972,0.435677,0.416493,0.380975,0.405317,0.429095,0.394747,0.396401,0.375703,0.41714,0.422774,0.397143,0.405862,0.360699,0.449023,0.415773,0.433779,0.42779,0.423012,0.387958,0.413666,0.429964,0.452259,0.379766,0.401621,0.381092,0.405729,0.421553,0.386329,0.42145,0.432329,0.39737,0.393242,0.38246,0.39652,0.403681,0.405557,0.467424,0.419362,0.424232,0.442008,0.399628,0.407435,0.397544,0.382205,0.420941,0.391613,0.384655,0.358394,0.410455,0.39428,0.362931,0.375825,0.420436,0.370769,0.456408,0.374166,0.402189,0.382017,0.404371,0.412168,0.366536,0.379058,0.386778,0.380215,0.381727,0.424814,0.374369,0.393765,0.386069,0.414381,0.390889,0.381953,,,,
9,1.696383,1.385437,0.654134,0.675256,0.936995,0.598036,0.458753,0.505204,0.474257,0.469209,0.436538,0.477513,0.485337,0.435535,0.462214,0.493004,0.50427,0.520317,0.45201,0.472482,0.48348,0.485443,0.501204,0.466287,0.46399,0.487516,0.508827,0.467084,0.510056,0.51615,0.474401,0.486753,0.532467,0.467933,0.444152,0.48548,0.52174,0.546017,0.476618,0.509308,0.506097,0.504047,0.514081,0.615538,0.595073,0.494949,0.62998,0.471528,0.470399,0.48079,0.439698,0.476086,0.507431,0.692657,0.644754,0.483874,0.438214,0.456534,0.48478,0.453982,0.46773,0.458408,0.493899,0.556986,0.515477,0.47538,0.506339,0.46608,0.445274,0.537477,0.465015,0.482509,0.453481,0.460802,0.476356,0.508392,0.528726,0.475581,0.51413,0.471198,0.377,0.401486,0.371244,0.440189,0.40718,0.367542,0.401907,0.354639,0.468253,0.350386,0.392488,0.506446,0.393593,0.345561,0.357984,0.399549,0.373624,0.381468,0.383714,0.468453,0.352748,0.375647,0.431402,0.404499,0.330459,0.376482,0.41095,0.378739,0.37288,0.48361,0.38396,0.467367,0.38501,0.435483,0.390242,0.370685,0.386301,0.495724,0.362881,0.402586,0.426131,0.404351,0.377537,0.466231,0.395087,0.432802,0.379209,0.360471,0.415751,0.39708,0.470618,0.369364,0.3641,0.374582,0.406328,0.446191,0.346242,0.392322,0.388145,0.361034,0.408703,0.407717,0.384841,0.504483,0.433401,0.467148,,,,
