Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,5.57625,2.476031,2.406048,5.115092,3.384178,2.742835,1.920644,1.758847,4.055781,2.517722,2.754438,4.039736,0.804616,1.16273,0.597024,1.10955,1.371373,1.447697,0.803178,1.467271,0.818631,1.440435,1.357038,0.876408,1.140462,0.957336,1.940404,1.381388,1.607285,0.83509,0.901652,1.134981,0.814676,0.784556,1.197776,0.841692,0.907966,1.230831,1.180883,1.176964,0.950592,0.840587,0.983882,1.012002,0.879829,1.506947,1.11327,1.131775,0.554495,0.474724,0.769229,0.241925,0.784596,0.530471,0.253556,0.222964,0.250867,0.436999,0.724623,0.707372,0.442676,0.240962,0.548594,0.466377,0.565767,0.355617,0.499364,1.030892,1.034745,0.959832,0.945483,1.077217,1.172402,0.956727,1.028611,0.950058,0.873628,0.732052,0.988128,0.946729,0.533889,0.871822,0.702655,0.741895,0.701087,0.56789,0.552628,1.06834,0.566368,0.823263,0.58173,0.767761,0.858746,0.841766,0.630448,0.685908,0.774961,0.84978,0.889121,0.704072,0.790096,0.632836,0.640471,0.63286,0.653639,0.624632,0.675342,0.651628,0.63649,0.977704,0.946457,0.638843,0.914273,0.61638,0.757125,0.789926,0.807641,1.001721,0.779747,0.774956,0.79624,0.863894,0.56198,0.555517,0.89568,0.883631,0.838694,0.885893,0.955322,1.224723,0.871755,0.908285,0.880516,0.879696,0.879493,0.826371,0.571829,0.57822,0.925003,1.232687,0.930668,0.918687,0.954562,,,,,,,
1,2.425649,3.806166,2.576991,4.017952,2.345014,1.158675,1.164981,1.160412,1.025666,2.173035,1.264083,1.465803,0.900543,0.728419,1.334476,1.472646,0.443216,0.628002,1.228677,1.691903,1.344658,0.88036,0.894647,0.863722,0.893197,0.738197,1.004329,0.627466,0.899205,0.829208,1.132865,0.756654,1.831982,0.476707,1.405222,1.079577,0.878956,0.771901,1.088965,1.097636,0.88714,0.784468,1.097557,1.836688,1.348851,1.185999,1.673867,1.903944,1.683692,1.474716,1.3679,1.458232,1.115343,1.291997,1.13025,1.115649,1.135535,1.069754,1.109706,1.136379,0.992645,1.405495,1.32384,0.977875,1.250569,0.96484,1.306052,1.273345,0.955842,0.982908,0.997348,0.964203,0.83472,0.966413,0.968413,0.971873,0.98264,1.330225,0.996688,0.93847,1.089036,1.286533,1.050301,1.051379,0.982992,1.387377,0.982695,0.985456,1.089961,0.872168,1.001921,1.019387,1.379246,1.157345,1.164322,1.052837,1.767359,1.805024,2.015696,1.444337,0.811162,1.146642,1.371791,1.355461,1.0431,0.770224,0.993558,0.79353,1.095079,0.995146,0.978649,1.030629,0.986217,1.004139,0.985264,0.993636,1.026653,0.976065,1.358821,1.000186,0.984554,1.004123,1.022943,0.993709,0.979736,0.979628,1.030259,1.314575,1.325508,1.374917,1.030819,1.369666,1.378482,0.998575,0.977078,1.025312,1.102156,1.014388,0.946055,1.009343,0.998601,0.982644,1.060357,,,,,,,
2,5.94898,2.083548,1.873836,3.228688,2.035177,3.887203,2.205677,2.04531,1.517305,2.283628,1.386758,1.341408,1.679535,0.938238,1.214063,1.674354,3.51474,2.733588,1.790036,1.724062,0.919164,0.975501,1.18994,1.033432,1.403811,2.076368,1.053225,1.085291,1.069797,1.120456,1.158659,1.903119,1.43439,2.143432,1.826045,2.303203,0.95141,1.765115,1.714029,1.574289,1.600531,1.422079,1.110553,0.981612,1.227594,1.471588,1.715446,0.964875,1.851418,0.872867,1.637268,1.507736,1.302318,1.826698,1.487561,1.242889,1.126129,1.560714,1.530499,0.933903,0.922726,0.928622,1.189422,1.615464,1.152261,1.066884,1.003655,0.931358,1.54265,1.242058,1.109538,1.291678,1.151349,1.317546,1.354233,1.167827,1.297849,1.394556,1.054672,1.060597,1.061577,1.067978,0.69365,0.895731,0.565854,0.775623,0.673444,1.093265,1.330599,0.672753,0.915703,1.120804,0.623525,1.043159,1.043878,0.64905,0.655187,0.874379,0.810181,0.941541,0.975719,0.975403,0.641705,0.973127,0.950456,0.931482,0.947967,0.769457,0.703652,0.939314,1.014927,0.625597,0.665797,0.672629,0.635483,1.044961,1.015677,1.057309,1.038414,0.893648,1.078079,1.02975,0.907691,0.621153,0.624433,0.641451,0.638366,0.647344,1.129743,1.116299,1.107702,1.371763,1.043715,0.921871,1.083319,1.057534,1.096273,1.000832,0.654673,1.04881,0.646514,0.809157,0.788949,,,,,,,
3,2.923982,3.334912,3.935959,1.310561,1.139418,1.089099,2.083776,1.421291,1.334899,1.311264,0.986179,0.907079,1.179064,1.350899,1.814582,1.870671,1.590923,0.948143,0.89922,1.473039,1.130975,1.595058,1.317782,1.52707,1.610293,1.829096,1.808603,1.604072,1.220332,2.116909,1.069199,1.008219,1.161079,1.600657,0.98025,1.577485,0.632123,0.979648,0.503242,0.487818,0.50162,0.883194,0.600752,0.762227,1.231855,0.747042,1.183418,1.096621,0.788972,0.753672,0.921106,1.106715,1.292487,0.562579,0.845474,1.246891,1.246703,0.87167,0.853108,0.668844,0.918429,0.507483,0.759475,1.183343,0.792772,0.517206,0.728447,0.701899,0.716339,0.812768,0.875481,0.610071,1.038385,0.19456,0.219887,0.53253,0.792508,0.784074,0.810723,0.317927,0.883443,0.690607,0.795208,0.798715,0.780126,1.143911,0.809917,0.789469,0.667749,0.530066,1.05897,0.901867,0.868126,0.728028,0.676849,0.531748,0.790137,1.034724,0.521882,0.498605,0.494142,1.161132,0.723346,1.044358,1.259739,0.817595,0.501067,0.70793,0.648332,0.633664,0.693423,0.62692,1.014789,0.8741,1.364871,0.537773,0.848092,1.07426,0.786005,1.202372,0.817777,0.771568,0.822619,0.429258,1.01085,1.10734,0.794805,0.565957,0.781562,0.948724,0.780982,1.022237,1.043868,0.599297,0.581955,0.494234,0.790461,0.527332,0.472572,0.525473,1.052348,0.634373,0.48363,,,,,,,
4,3.868138,1.585863,2.457147,2.181063,1.357719,2.233758,1.896716,3.575539,1.987924,1.469185,0.698591,0.868196,0.804178,0.984601,0.927235,1.028513,0.636151,0.599399,0.323337,2.709282,0.792031,0.671968,0.786846,0.897332,1.95377,0.740061,0.94546,0.820017,0.562363,1.386368,1.479428,1.572279,1.44878,0.703373,0.834627,0.792862,0.363891,0.430603,0.691822,0.049936,0.425384,0.537553,0.080226,0.817221,0.868315,0.441773,0.73525,1.03372,1.118539,1.416508,0.990913,0.84793,1.02852,0.643461,0.879591,0.909746,1.278069,1.269902,1.007681,0.904989,0.90575,1.27022,0.936406,0.914873,0.92892,0.7016,0.631514,0.634722,0.672156,0.80482,0.664048,0.712252,0.718252,0.828573,0.720318,0.687168,0.676445,0.778182,0.746831,0.792661,0.773011,0.701562,0.683498,0.819448,0.842146,0.788528,0.763901,0.759583,1.018071,0.692637,0.708723,0.6981,0.696648,0.665542,0.749751,0.677027,0.731357,0.628127,0.394666,0.939797,0.795741,0.665342,1.267607,0.687375,0.592238,0.678811,0.730842,0.587063,0.875402,0.853777,0.79872,0.810293,0.68846,0.689379,0.687867,0.475622,0.744996,0.735612,0.706866,0.75857,0.721863,0.712201,0.680026,0.686583,0.72452,0.724257,0.810061,0.774643,0.760383,0.69807,0.677288,0.697761,0.865146,0.777837,0.732176,0.926718,0.694332,0.56896,0.622094,0.603363,0.612471,0.605216,0.823423,,,,,,,
5,3.773465,1.122929,2.892929,2.829131,2.704263,1.869917,1.720879,0.888989,1.933253,1.665023,1.478348,1.323666,1.032173,1.374705,1.912285,1.845051,1.617084,1.679814,0.393782,0.981209,1.190401,1.544415,1.686603,1.152046,1.802826,1.428386,1.493637,1.847741,0.960968,0.509136,0.915829,1.887825,0.751396,0.977721,0.440913,0.622884,0.539398,0.767311,0.747838,0.892712,0.852174,1.109762,0.645666,0.611852,0.765115,0.65554,0.753897,0.874338,0.49266,0.50676,0.825883,0.500432,0.585932,0.582374,0.595692,0.719667,0.510504,0.667436,0.746677,0.788241,1.085467,0.99446,1.249819,0.743036,0.577813,0.327367,0.977469,0.217922,0.992399,0.619873,0.698539,0.730774,0.85328,0.814906,0.548564,0.86198,0.851215,0.815716,0.541433,0.837318,1.15503,0.82905,0.743365,0.348951,0.773604,0.543674,0.826014,0.867569,0.822715,0.848987,0.576158,0.788938,1.113475,1.162797,1.143539,1.174933,1.198864,0.625772,1.015058,1.003181,0.844258,0.622979,1.086948,0.749251,0.746685,1.225199,1.171164,1.00769,0.856375,1.013433,0.839214,0.532293,0.563008,0.955681,0.867959,0.698351,0.769338,1.228325,0.579313,0.858454,0.842079,0.829834,0.873512,0.58096,0.874192,0.820259,0.865436,0.869586,0.828917,0.842832,0.867191,0.824365,0.87975,0.898219,0.824851,0.848756,0.829479,0.713565,0.830208,0.847118,0.858002,0.788902,0.757219,,,,,,,
6,3.734651,3.951512,6.92576,0.966275,1.747491,2.044383,2.241969,2.709147,0.089716,4.58224,1.196651,0.564987,1.062525,3.011942,1.595918,0.781511,1.528795,1.071468,2.031901,2.378031,1.178654,1.173187,1.476814,0.980243,1.438124,1.449799,1.228759,0.856281,1.110411,1.324422,1.424118,1.367988,0.981395,1.96809,0.790385,1.300752,0.930987,1.095016,0.986807,0.747933,1.15346,0.584227,0.94304,0.804445,0.824537,0.855893,1.42716,1.95133,1.328604,1.479276,1.525033,0.847808,1.50101,1.134676,1.324326,0.917227,0.776739,1.093119,1.019467,1.010381,1.106083,0.632979,0.809181,0.802218,0.743097,0.769575,1.163585,0.841,1.492067,1.298046,1.294688,1.018977,1.010367,0.868989,1.464454,1.716253,1.457561,1.48464,1.494025,1.706926,1.506193,1.488309,1.490141,1.470931,1.410713,1.20757,1.187829,1.706235,1.080734,0.979516,1.310405,1.296633,1.331392,1.319671,1.239191,1.17271,1.296438,1.348014,1.27803,1.338312,1.340805,1.469729,1.447317,1.450663,1.155952,1.246446,0.977183,0.994668,1.046673,0.973075,0.977508,0.990085,1.04865,1.087109,1.191287,1.057525,1.231312,1.156126,1.216196,0.960421,0.819318,0.836912,0.867029,1.098043,1.237429,1.158029,1.166219,0.847765,0.975906,1.000721,1.010169,0.957672,0.926904,0.981483,0.996384,0.907026,0.859623,0.805784,0.793695,0.777167,1.204686,1.11758,1.163273,,,,,,,
7,6.854863,1.505248,1.737477,1.564411,1.6513,0.597276,2.16498,3.342015,1.307882,2.769843,0.67955,1.397971,1.652099,2.719371,0.644579,1.511023,1.409919,1.548913,2.56752,1.2821,1.996812,1.36579,1.292893,1.263877,1.282162,1.318118,1.0799,1.310264,1.876787,1.39996,0.858689,1.034603,0.827172,0.957013,0.902129,1.074667,0.588337,0.628934,0.55684,0.978677,0.631651,1.011748,0.671752,1.307479,0.993988,1.576021,2.326443,1.287178,0.76608,1.091357,1.254302,0.885361,0.950994,0.931272,1.149883,1.007768,1.353613,1.392812,1.37481,1.647983,1.484477,1.591776,1.088836,1.180474,1.218586,0.712304,0.677366,0.659955,1.19926,1.344082,1.100993,1.190839,1.168585,1.185878,1.536779,1.245629,1.213182,1.24542,1.233585,1.087567,1.298662,1.211096,1.209527,1.145793,1.187347,1.005922,1.149773,1.238551,1.409988,1.300118,1.041168,0.987435,0.480215,0.756373,0.641758,0.648758,0.721558,0.572587,0.889892,0.67211,0.604769,0.63452,0.782294,0.59532,0.567057,0.746836,0.72775,1.253012,0.480064,0.643479,0.598231,0.592348,0.574295,0.589992,0.800542,0.737543,0.494726,0.493678,0.920552,0.703556,0.453466,0.452722,1.229389,0.623272,0.771621,0.623586,0.608815,0.64349,0.64105,0.756769,0.678342,0.659572,0.671397,1.000052,0.46688,0.65559,0.721024,0.459459,0.919343,0.829979,0.628936,1.012667,0.596816,,,,,,,
8,6.305437,5.201524,1.974743,2.948324,1.833017,1.659237,1.032993,1.243935,1.617147,1.822696,0.7269,1.143246,0.607419,0.71077,1.138787,0.648979,0.793678,0.596607,0.408656,1.307712,1.356495,0.777123,1.564399,1.86105,1.564406,1.303309,1.324321,1.237848,2.144388,1.102643,1.934833,2.519477,1.189368,0.826657,0.976007,1.725442,1.091453,1.279775,1.690132,0.833535,1.158698,0.979014,1.359007,1.056104,1.137271,1.027302,0.903585,1.247822,1.018588,1.41243,1.254631,1.348338,1.060144,1.101591,1.00397,0.883506,0.864243,1.071756,0.904965,0.89225,0.364834,0.273383,0.876873,0.348465,0.380319,1.070692,0.9774,0.849838,0.738613,0.769649,1.033498,0.932582,0.760958,0.707491,0.804396,0.695588,0.674152,0.594639,0.708149,0.598063,1.168848,1.437762,1.152689,1.781147,1.650544,1.50395,1.260084,1.631083,1.76034,1.410493,0.977397,0.996201,1.430542,1.425547,0.980561,0.988859,1.406026,1.438199,1.188241,1.172789,1.058716,1.030089,1.366865,1.4295,1.150465,1.419972,1.439493,1.371433,1.644238,1.210378,1.209726,1.710238,1.026044,1.029575,1.050413,0.973954,1.038694,1.008117,1.20866,1.004882,1.455959,0.699851,0.713353,0.695527,0.726129,1.29257,1.485623,1.489087,0.751806,0.703744,0.757508,0.710524,0.926939,0.695239,0.75408,0.681818,0.703401,0.693785,0.669293,0.669616,0.903125,0.288364,0.660444,,,,,,,
9,2.418238,6.651639,1.013601,2.782199,2.209748,1.899121,0.67235,2.088398,1.631474,2.143568,0.667758,1.403637,1.113853,1.022015,0.843789,1.478815,0.847201,0.833006,0.560632,1.29043,0.955794,0.790836,1.055431,0.973601,0.793823,0.834407,1.079097,0.826768,2.303077,0.474778,0.423881,0.729853,0.797745,0.298931,0.323218,1.076731,1.253423,0.640412,0.316238,0.296513,0.310141,0.372062,0.332837,0.311312,1.122883,0.287372,0.673894,0.657831,1.090823,1.24379,0.97914,0.827076,1.143546,0.689291,0.330675,0.46816,0.83456,0.747899,0.865634,0.772588,0.69984,0.644202,0.296591,0.306243,0.319949,0.852857,0.915604,1.304786,0.786331,0.957902,0.920798,0.785925,0.591162,0.294961,0.60536,0.789269,0.835787,0.862749,0.598026,0.659458,0.924037,0.964712,0.947016,0.95655,0.957157,0.947403,0.973267,0.927771,0.923908,1.126828,1.052113,0.86676,0.833658,1.136715,0.900927,1.245111,1.179478,1.15064,1.166973,1.264297,1.067469,1.146686,1.061687,1.087931,1.253208,1.239048,0.495207,0.673253,0.393165,0.573007,0.305411,0.267265,1.032576,0.413253,1.141603,0.459804,0.415165,0.493226,0.446678,0.499588,0.491129,0.284847,1.017116,1.248518,1.072387,0.248424,0.94394,0.904092,0.904745,0.909094,1.011963,0.499506,0.930018,0.922846,1.006625,0.917749,0.920332,0.944758,0.628491,0.572944,0.645707,0.926694,0.652859,,,,,,,
