Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.886201,1.876181,1.886265,1.876225,1.875199,3.348495,3.301159,3.339909,3.317376,2.66684,2.675508,2.684079,1.181641,1.153063,2.649265,2.705884,2.365959,2.383246,2.336872,2.310297,2.347286,2.315593,2.331673,2.371869,2.371168,2.346572,2.354089,2.299923,2.377236,2.387165,2.275148,2.36472,1.206978,1.205087,1.165252,1.178617,1.134626,1.149435,1.143535,1.168448,1.158585,1.202974,1.128721,1.035148,1.164389,1.196902,1.139272,0.436968,1.16197,1.164721,0.413723,0.421966,1.149412,0.445764,0.418429,0.440995,0.418652,0.441102,0.487368,0.420249,0.477522,0.457994,0.444775,0.428637,0.448595,0.996913,0.466049,0.446938,0.440387,0.447541,0.424656,1.029328,1.204057,0.443227,0.414934,0.397314,0.410389,0.475154,0.392319,0.391833,1.030091,0.408355,0.601956,0.405781,1.015753,0.44756,0.441607,0.427444,0.433096,0.387998,0.58842,0.488819,0.495387,0.596248,0.629179,0.527968,0.423792,0.429059,0.546121,0.546164,0.552986,0.528501,0.572031,0.508593,0.535212,0.583853,0.539501,0.469198,0.533387,0.55953,0.440144,0.535666,0.393552,0.538875,0.46788,0.453361,0.464096,0.571551,0.600465,0.421862,0.468653,0.489892,0.582555,0.52289,0.516521,0.518533,0.570149,0.581387,0.423605,0.550488,0.670673,0.555883,0.412491,0.588974,0.611722,0.579443,0.59759,0.607154,0.45704,0.455918,0.564563,0.516201,0.400478,,,,,,,
1,4.762017,1.341647,2.601,1.51903,0.70338,0.704146,0.674009,0.745409,1.531211,0.704564,0.706004,0.730673,0.712669,0.682961,0.714239,0.685249,0.65101,0.711877,0.76733,0.736064,0.687853,0.686622,0.694873,0.741135,0.69556,0.665648,0.740072,0.68418,1.593001,0.662805,1.550172,1.580191,0.693795,0.799003,0.837727,0.764157,0.806853,0.809454,0.88473,0.777862,0.776521,0.810523,0.771648,0.798758,0.760618,0.879885,0.828238,0.776373,0.810983,0.863247,0.779561,0.770403,0.799892,0.785911,0.844563,0.894407,0.818761,0.800174,0.793735,0.84375,0.767964,0.774563,0.761517,0.769794,0.799914,0.83034,0.811456,0.823635,0.779404,0.87069,0.797853,0.845663,0.85802,0.870466,0.909888,0.890682,0.863109,0.831236,0.802258,0.880933,0.893174,0.788031,0.787692,0.878121,0.796977,0.802132,0.754493,0.805908,0.873245,0.835153,0.848742,0.932834,0.866916,0.857378,0.902043,0.802291,0.840675,0.896537,0.86837,0.816951,0.858091,0.863367,0.891606,0.870002,0.913982,0.760988,0.938534,0.866824,0.894748,0.871349,0.863336,0.853571,0.897274,0.869261,0.889161,0.879604,0.877517,0.883805,0.858533,0.920167,0.898847,0.880242,0.843026,0.89291,0.873493,0.934415,0.875955,0.86225,0.894467,0.917285,0.880542,0.900964,0.901761,0.800093,0.872962,0.89552,0.89101,0.883104,0.869971,0.891402,0.840629,0.784096,0.863376,,,,,,,
2,2.719376,3.145432,3.165304,3.173685,2.715455,2.241634,2.239591,1.345737,1.301904,1.331961,1.407472,1.421647,1.398749,1.365368,1.29954,1.28413,1.299241,1.309615,1.281907,1.293259,1.277159,1.286026,1.272775,1.297401,1.317183,1.295559,1.304232,1.304714,1.293656,1.305449,1.285768,1.273187,1.319722,1.292539,0.705387,0.644027,1.328366,1.221858,0.987658,1.29969,1.233507,1.303732,1.227919,1.296538,1.300482,1.352712,1.311163,1.284241,1.301992,1.31365,1.341474,1.300713,1.275843,1.262991,1.287002,1.321114,1.330828,1.301844,1.284838,1.286501,1.309978,1.326099,1.30314,1.269921,1.323923,1.285427,1.319935,1.291905,1.293649,1.270488,1.266788,1.322098,1.282598,1.275355,1.316966,1.30075,1.290477,1.322963,0.686879,1.263888,0.64889,0.646921,1.247576,0.936482,1.308177,1.258885,0.686132,1.300066,1.295894,0.661596,1.286519,1.30158,1.277712,0.728276,1.259491,1.265865,0.574571,0.687342,1.311922,1.285569,0.583445,0.730041,0.948884,0.593964,0.564561,0.565314,0.580848,0.609691,0.594328,0.631889,0.612262,1.31043,1.307814,0.715935,0.559205,1.251377,1.327676,0.75959,1.26174,1.331872,1.245192,1.237437,1.304509,1.272975,1.287767,0.611416,1.257699,0.704829,0.607748,0.661749,0.637979,0.630851,0.630217,0.618421,0.637316,0.596638,0.665443,0.629989,0.626599,0.642419,0.648924,1.290551,0.656511,,,,,,,
3,6.910377,3.587357,3.56605,1.648908,1.574781,1.550083,1.589144,1.574184,1.584678,1.118848,1.106797,1.570255,1.553629,1.549532,1.100102,1.124382,1.097359,1.110334,0.904125,0.858797,0.872235,0.81952,0.809939,0.844675,0.854051,0.886908,0.88124,0.490903,0.890391,0.881344,0.783922,0.876746,0.854128,0.840138,0.866297,0.613957,0.612258,0.856392,0.626643,0.858378,0.835155,0.87097,0.824844,0.621342,0.59143,0.624095,0.864836,0.624842,0.858573,0.831809,0.864878,0.900913,0.906191,0.842209,0.835777,0.676154,0.880571,0.827354,0.71442,0.750791,0.655763,0.849333,0.883126,0.868844,0.612843,0.830966,0.631742,0.634004,0.578712,0.877464,0.837355,0.615541,0.869928,0.58514,0.579939,0.584835,0.891928,0.889069,0.854141,0.83463,0.833203,0.854984,0.848064,0.574243,0.616381,0.63138,0.557473,0.716741,0.74682,0.831879,0.646033,0.882955,0.70587,0.825999,0.578978,0.584887,0.567139,0.875624,0.859189,0.844666,0.546111,0.489944,0.624776,0.515472,0.874487,0.863294,0.675388,0.542269,0.541604,0.566052,0.57169,0.599117,0.562411,0.478233,0.483156,0.61192,0.573901,0.610818,0.608384,0.571006,0.595601,0.536652,0.592365,0.601903,0.59681,0.57574,0.623335,0.495627,0.582993,0.528341,0.592389,0.591812,0.484037,0.501343,0.440465,0.495063,0.456589,0.481649,0.431786,0.43665,0.470125,0.501746,0.471328,,,,,,,
4,8.572953,1.865535,1.277069,1.199521,1.241247,1.036202,1.759569,1.767161,1.784702,0.512724,0.76653,0.97579,0.934767,1.375594,0.759803,0.970601,0.776666,0.501217,1.362068,0.530117,0.511782,0.469318,0.773626,0.757386,0.761893,0.53123,0.291936,0.764953,0.475887,0.488841,0.74976,0.303044,0.777188,0.29349,0.290266,0.332253,0.501655,0.491355,0.503568,0.543592,0.476501,0.315956,0.321825,0.304323,0.268778,0.270212,0.539428,0.454338,0.295525,0.294914,0.305924,0.267736,0.297377,0.263108,0.291678,0.629775,0.688022,0.302452,0.51755,0.648665,0.670982,0.333441,0.326824,0.295283,0.506201,0.409872,0.310791,0.375455,0.275908,0.433632,0.313871,0.294949,0.528797,0.293188,0.446,0.264927,0.762199,0.406356,0.261162,0.455936,0.455082,0.262146,0.405949,0.406899,0.404499,0.410169,0.301299,0.502228,0.409462,0.287865,0.403972,0.422448,0.373046,0.396136,0.438381,0.429408,0.403457,0.435585,0.291615,0.446949,0.542817,0.419903,0.380471,0.29885,0.492071,0.381591,0.427242,0.384125,0.498218,0.398035,0.419814,0.46877,0.253098,0.45273,0.424461,0.38356,0.419887,0.376342,0.408571,0.41908,0.381609,0.421306,0.400993,0.397104,0.399506,0.40049,0.411891,0.390567,0.401338,0.390734,0.434915,0.422211,0.421496,0.398445,0.387461,0.403685,0.38662,0.329178,0.403839,0.281773,0.412563,0.417759,0.402122,,,,,,,
5,4.989324,1.936624,3.453526,3.385456,3.423548,1.412141,0.958045,0.816434,0.744187,0.779375,0.827507,0.76552,0.775767,0.813557,0.797845,0.769603,0.789369,0.778447,0.755731,0.76973,0.783515,0.781225,0.787993,0.74541,0.760741,0.789505,0.784315,0.771954,0.782769,0.787903,0.75955,0.746351,0.778496,0.774638,0.768114,0.727416,0.755431,0.610032,0.782663,0.771887,0.781084,0.758127,0.515853,0.712874,0.735981,0.700007,0.725156,0.74757,0.764632,0.769316,0.779123,0.779761,0.777351,0.634052,0.612638,0.632864,0.764687,0.807453,0.627965,0.864,0.393088,0.365948,0.617511,0.869755,0.839907,0.751338,0.777278,0.800028,0.800648,0.380339,0.83322,0.766111,0.848167,0.387436,0.343223,0.358227,0.634152,0.647018,0.634416,0.613983,0.692781,0.652076,0.635373,0.630793,0.611325,0.622057,0.64262,0.598466,0.385358,0.658342,0.66666,0.664274,0.679043,0.583,0.636285,0.600732,0.638878,0.61928,0.68567,0.64116,0.638199,0.667035,0.624532,0.654272,0.645236,0.605822,0.370756,0.625607,0.630508,0.350454,0.612594,0.642951,0.776549,0.62261,0.575159,0.391247,0.370642,0.591615,0.392658,0.862016,0.41333,0.613003,0.35069,0.623755,0.387605,0.626419,0.65375,0.616707,0.409604,0.6292,0.615205,0.391751,0.393393,0.668153,0.667046,0.375152,0.611654,0.652173,0.374955,0.756489,0.771128,0.765973,0.765252,,,,,,,
6,1.154958,1.170697,3.415353,1.200806,3.433772,1.436544,1.409403,1.425344,1.437421,1.440142,1.401674,1.415618,1.420328,1.432451,1.41714,1.404834,1.422743,1.414342,1.378521,1.45663,1.399963,1.408893,1.420594,1.412928,1.443386,0.48543,0.472337,0.515978,0.508837,0.462753,0.470875,0.498942,0.506217,0.487749,0.480099,0.470338,0.500619,0.451841,0.494644,0.584968,0.471518,0.601284,0.547784,0.609812,0.465318,0.121748,0.054407,0.34319,0.272069,0.349526,0.301587,0.143873,0.300388,0.341039,0.098626,0.293222,0.331176,0.109118,0.326183,0.335173,0.308586,0.336468,0.346067,0.277972,0.329123,0.338772,0.103146,0.339017,0.335644,0.295407,0.102682,0.305463,0.335042,0.094753,0.317841,0.296893,0.346151,0.308206,0.291448,0.353925,0.336081,0.063217,0.116627,0.135079,0.118804,0.069121,0.119003,0.157239,0.053318,0.330187,0.087265,0.082198,0.071611,0.109664,0.084503,0.113882,0.112071,0.073152,0.133382,0.068635,0.080696,0.065404,0.083473,0.057969,-0.008823,0.050129,0.048126,0.046127,0.132927,0.11941,0.020482,0.094161,0.10826,0.038896,0.106243,0.043252,0.060193,0.054848,0.066611,0.051394,0.028222,0.054982,0.03849,0.062157,0.036872,0.030903,0.020956,0.073633,0.039716,0.058264,0.039113,0.071644,0.047888,0.04449,0.05311,0.119377,0.048564,0.03491,0.039767,0.023813,0.040506,0.017987,0.033245,,,,,,,
7,6.429609,6.43846,6.456488,5.52148,5.491008,5.471133,3.58575,5.479466,5.521765,3.580646,1.760751,1.794528,1.742923,1.776499,1.006887,0.995466,1.790816,1.783979,1.765247,1.795639,1.785217,1.064614,1.055219,1.047075,1.037401,1.049264,1.024054,1.034541,1.056448,1.039422,1.040746,1.068746,1.045058,1.065221,1.005414,1.080029,1.048129,1.061733,1.059065,1.057842,1.040544,1.010965,1.034933,1.044517,1.012973,1.06879,1.052209,1.066743,1.053728,1.056117,1.093844,1.078945,1.039297,1.055833,1.008255,1.04165,1.067556,1.010135,1.061377,1.054399,1.04133,1.054766,1.014559,0.992498,1.063726,1.065746,1.037448,1.057544,1.098612,1.042458,1.035305,1.036138,1.024284,1.081025,1.086991,1.063151,1.070162,1.063768,1.034134,1.086876,1.076149,1.055275,1.030137,1.0667,1.037611,1.058754,1.048987,1.034882,1.052952,1.015145,1.042813,1.029741,1.061475,1.039353,1.062121,1.04762,1.022728,1.027393,1.070447,1.0732,1.054523,1.067001,1.068845,1.054028,1.016785,1.044267,1.042497,1.033857,1.039889,1.060353,1.084121,0.986563,1.030877,1.035837,1.035154,1.052728,1.046634,1.065974,1.11018,1.053554,1.031094,1.017444,1.067699,1.058451,1.050989,1.082812,1.076654,1.057715,1.019349,1.053314,1.070463,0.826373,1.065492,1.056413,1.030478,1.07294,1.028367,1.045256,1.027259,1.038675,1.050338,1.050121,1.07038,,,,,,,
8,0.395404,0.427339,0.406746,0.410675,1.929055,0.392054,0.454695,0.390639,0.864401,0.846428,0.885931,0.841938,0.867396,0.87134,0.882957,0.836232,0.842745,0.873897,0.866965,0.910939,0.869322,0.879333,0.834018,0.86145,0.873144,0.863888,0.837344,0.82945,0.880879,0.873215,0.836146,0.837218,0.862155,0.870234,0.819529,0.844333,0.862022,0.865507,0.853002,0.878698,0.855287,0.856824,0.849406,0.81411,0.859899,0.863382,0.833606,0.793682,0.867336,0.86824,0.824393,0.856778,0.837069,0.830921,0.834542,0.828629,0.772113,0.815889,0.810194,0.856902,0.855922,0.83833,0.889491,0.860396,0.844618,0.844342,0.872426,0.830595,0.88806,0.859108,0.838519,0.836973,0.852425,0.819731,0.87438,0.799648,0.808189,0.850415,0.862057,0.813924,0.872954,0.847784,0.846156,0.825443,0.87049,0.82044,0.821183,0.842688,0.874123,0.872377,0.883604,0.86155,0.830605,0.406415,0.374132,0.888125,0.818594,0.839567,0.396833,0.416587,0.414878,0.410695,0.388429,0.370762,0.43318,0.8382,0.431291,0.391074,0.372009,0.449384,0.424848,0.412138,0.438853,0.403992,0.372352,0.404744,0.442499,0.412715,0.395212,0.416152,0.39518,0.425869,0.409654,0.419368,0.386391,0.36594,0.409679,0.401941,0.401433,0.383683,0.413889,0.414627,0.400981,0.400883,0.406095,0.365366,0.404972,0.427692,0.408252,0.674722,0.384507,0.439744,0.659831,,,,,,,
9,1.73888,3.402156,3.418573,3.02879,1.100711,1.096122,1.066087,1.120298,1.124962,1.458446,0.736179,0.730642,0.747469,0.78754,0.750924,0.792879,0.732031,0.795517,0.732146,0.817482,1.174487,1.189184,1.185872,1.221875,1.153557,1.170622,1.24696,1.222096,0.8496,1.201835,1.178282,1.170718,0.659648,0.650056,0.683962,0.698276,0.665412,0.681795,1.203532,0.699458,0.494615,0.210979,0.217105,0.227738,0.253904,0.239707,0.205927,0.123675,0.172931,0.181413,0.156892,0.132524,0.179943,0.157245,0.162707,0.187987,0.162161,0.157922,0.137372,0.162262,0.163153,0.181684,0.132309,0.136426,0.183627,0.164589,0.159182,0.209071,0.159249,0.136239,0.198315,0.153141,0.125117,0.206314,0.16616,0.181505,0.150148,0.161164,0.165847,0.161912,0.132869,0.194606,0.143504,0.190593,0.122558,0.20113,0.143777,0.211604,0.159057,0.150759,0.188493,0.212788,0.161949,0.147528,0.143711,0.154582,0.165292,0.195135,0.171014,0.169132,0.150378,0.162939,0.145834,0.177425,0.203302,0.126259,0.135682,0.183416,0.175281,0.170719,0.127867,0.185658,0.136571,0.205405,0.146973,0.144715,0.182046,0.15864,0.131042,0.132689,0.126461,0.152011,0.162392,0.182672,0.146409,0.190645,0.162802,0.190178,0.175784,0.217027,0.182519,0.18315,0.183765,0.153917,0.179542,0.168391,0.155271,0.195599,0.149212,0.128468,0.153359,0.181441,0.220316,,,,,,,
