Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.712597,1.745739,1.738945,1.718869,1.489896,1.451145,1.477722,1.320816,1.4646,1.471747,1.487884,1.486851,1.473871,1.476402,1.355797,1.251635,1.357859,1.486483,1.308389,1.360603,1.32722,1.366912,1.332735,1.227355,1.322778,1.288526,1.28705,1.311147,1.349745,1.323847,1.319829,1.322123,1.30212,1.309836,1.317344,1.294206,1.331055,1.325478,1.253238,1.321679,1.326914,1.317152,1.306963,1.254809,1.265395,1.265524,1.24944,1.272715,1.244213,1.262629,1.287478,1.251196,1.235109,1.241677,1.240956,1.245488,1.258176,1.258792,1.326688,1.345562,1.349474,1.365743,1.34369,1.321476,1.350648,1.327957,1.31693,1.309301,1.319495,1.063264,1.045631,1.035263,0.940003,0.901173,0.941212,0.920107,0.897338,0.922385,0.9462,0.920134,0.921268,0.927947,0.908393,0.911477,0.947946,0.950602,0.910116,0.931404,0.934606,0.910876,0.911235,0.931451,0.904421,0.906074,0.959849,1.040323,0.900767,0.918271,1.077378,1.055798,1.081167,1.072391,1.056312,1.076651,1.064404,1.080062,1.093637,1.104033,1.095157,1.064078,1.066985,1.083591,1.056524,1.095096,1.065115,1.078692,1.092165,1.092654,1.06237,1.083587,1.067921,1.096175,1.066092,1.057863,1.077384,1.074576,1.051331,1.074573,1.076911,1.094521,1.087981,1.074254,1.08559,1.059291,1.082022,1.068036,1.079855,1.093266,1.085,1.091877,1.049639,1.076911,1.081306,,,,,,,
1,1.632502,1.971938,1.669501,1.675291,1.660403,1.213237,1.246337,1.377044,1.267161,1.220628,1.237317,1.239824,1.21729,1.317029,1.214792,1.347186,1.236284,1.199247,1.172011,1.171656,1.23432,1.180908,1.139383,1.151475,1.158257,1.134514,1.104966,1.112707,1.2045,1.270219,1.211165,1.238434,1.23469,1.265278,1.237405,1.210603,1.247471,1.218337,1.226285,1.264141,1.219668,1.249108,1.219976,1.220165,1.225046,1.235389,1.210964,1.182123,1.231282,1.229129,1.255661,1.240111,1.216835,1.234107,1.221426,1.209294,1.230161,1.243851,1.246474,1.233618,1.224831,1.095171,1.074439,1.09664,1.252822,1.244422,1.234756,1.016071,1.075716,0.996933,0.992526,1.003457,1.01276,1.063625,1.080031,1.069112,1.080724,1.024397,1.08054,1.08224,1.064942,1.059738,1.010536,0.988226,1.089519,1.084661,1.061375,1.072553,1.050388,1.038754,1.067553,1.090742,1.09571,1.067469,1.078767,1.084934,1.062901,1.107607,1.080601,1.056649,1.077956,1.029418,1.047664,1.023121,1.082816,1.094417,1.074395,1.049973,1.083269,1.063835,1.0875,1.097848,1.070931,1.054265,1.074304,1.08447,1.084577,1.048949,1.054286,1.055032,1.035432,1.05483,1.054779,1.053697,1.087745,1.057038,1.039999,1.070096,1.088819,1.028778,0.983319,1.012343,1.01469,1.015214,0.994541,0.982517,1.013885,1.012231,1.017855,1.00159,1.001775,1.008046,0.992983,,,,,,,
2,1.432596,1.839354,1.806429,1.808871,1.839064,1.796239,1.843039,0.954444,0.952598,0.951933,0.965755,1.379148,1.413363,0.933486,1.394229,1.394488,1.39544,1.360036,1.399912,1.405665,1.374074,1.415132,0.944694,0.954576,1.25092,1.228877,0.941701,0.964916,0.919589,0.928188,0.962957,0.93774,0.944941,1.021165,1.038165,0.936078,0.953087,0.960815,1.106161,1.096174,1.112596,1.10854,1.115474,1.102137,1.144797,1.125995,1.101734,1.124597,1.141753,1.116335,1.097836,1.138457,1.117439,1.121565,1.124114,1.135354,1.122143,1.096321,1.105325,1.096479,1.115952,1.098618,1.115196,1.0917,1.130754,1.1006,1.122012,1.080441,1.12254,1.104102,1.113182,1.088055,1.126489,1.120297,1.081029,1.112785,1.09665,1.099248,1.092247,1.097704,1.215439,1.216393,1.251405,1.095701,1.27612,1.063181,1.108931,1.28524,1.244686,1.107904,1.251109,1.263996,1.24728,1.255643,1.264188,1.266068,1.270717,1.241369,1.247319,1.260368,1.073275,1.099134,1.085828,1.09639,1.082313,1.116046,1.086611,1.072155,1.269614,1.245242,1.214979,1.253126,1.234396,1.257296,1.237917,1.252388,1.268116,1.245247,1.262588,1.249893,1.255597,1.246255,1.235778,1.266688,1.273476,1.241552,1.277074,1.266264,1.243745,1.243038,1.211988,1.247587,1.249914,1.253224,1.248482,1.257849,1.252601,1.242843,1.284123,1.243199,1.250369,1.246758,1.240641,,,,,,,
3,1.656335,1.642865,1.638412,1.386976,1.383652,1.376506,1.375837,1.375412,1.378661,1.382429,1.390992,1.373879,1.400637,1.427646,1.666286,1.602345,1.521597,1.489697,1.469524,1.509048,1.531897,1.489887,1.499373,1.509365,1.140505,1.161868,1.160051,1.16647,1.14823,1.143294,1.14055,1.368088,1.176223,1.329445,1.343506,1.320521,1.331867,1.166324,1.163747,1.15883,1.169174,1.15842,1.146372,1.161733,1.145555,1.184698,1.167655,1.189056,1.155341,1.158956,1.183039,1.158988,1.147187,1.124929,1.137796,1.151039,1.103766,1.397451,1.162718,1.173075,1.163449,1.182014,1.160132,1.165504,1.156534,1.158754,1.17622,1.179698,1.162403,1.184116,1.172971,1.169611,1.196253,1.164046,1.174951,1.183466,1.220469,1.196943,1.207417,1.155485,1.202412,1.19205,1.170645,1.161298,1.160341,1.1856,1.178977,1.158332,1.181154,1.178463,1.194072,1.166138,1.155078,1.151415,1.171644,1.173716,1.202598,1.186236,1.159669,1.156965,1.178974,1.176429,1.183991,1.154699,1.196828,1.178837,1.167595,1.174989,1.182551,1.182754,1.201717,1.197004,1.205327,1.145339,1.189276,1.154244,1.155281,1.148416,1.179994,1.178891,1.178478,1.170068,1.317009,1.263237,1.271677,1.185927,1.194951,1.171245,1.19006,1.150391,1.176592,1.140267,1.145503,1.197824,1.191129,1.182569,1.10715,1.104632,1.103224,1.101143,1.132542,1.128383,1.130278,,,,,,,
4,2.516508,1.519398,1.502772,1.136132,1.530991,1.531349,1.44593,1.643542,1.79569,1.787731,1.302756,1.28837,1.626799,1.324826,1.438349,1.430951,1.442474,1.435786,1.142625,1.481239,1.455883,1.482089,1.48284,1.479385,1.459421,1.48085,1.495628,1.485745,1.135436,1.138794,1.133118,1.124422,1.132664,1.104101,1.138833,1.154678,1.127842,1.119086,1.126436,1.109573,1.134819,1.135627,1.144797,1.144569,1.128519,1.114614,1.101649,1.120522,1.138901,1.149264,1.089053,1.138683,1.136331,1.136552,1.121417,1.125464,1.135378,1.134298,1.128515,1.169031,1.110245,1.110777,1.144605,1.128377,1.131359,1.127806,1.140474,1.124864,1.152721,1.129718,1.095263,1.153122,1.09729,1.115067,1.11885,1.131826,1.126636,1.154999,1.118573,1.151635,1.132133,1.130135,1.128322,1.135589,1.128797,1.155576,1.138585,1.14048,1.106094,1.129159,1.149229,1.140389,1.141178,1.11298,1.12112,1.122536,1.1122,1.135395,1.1107,1.115884,1.143041,1.108179,1.160741,1.128132,1.12226,1.127694,1.137596,1.118393,1.159486,1.119574,1.125841,1.128827,1.140534,1.140608,1.153834,1.141822,1.125762,1.120141,1.124538,1.083265,1.116865,1.117607,1.127769,1.129802,1.116415,1.119487,1.113837,1.138357,1.098223,1.119046,1.159399,1.125628,1.11269,1.127264,1.123524,1.138223,1.247786,1.09929,1.229063,1.233411,1.234747,1.214995,1.253102,,,,,,,
5,1.297496,1.309365,1.746666,1.716302,1.552238,1.331343,1.314809,1.314841,1.103127,1.091761,1.067218,1.121066,1.082185,1.04671,1.091623,1.095607,1.105248,1.114986,1.19916,1.177963,1.115602,1.136894,1.131877,1.126273,1.150303,1.13613,1.295392,1.258526,1.321394,1.308339,1.512069,1.492023,1.517309,1.520362,1.520106,1.52,1.517933,1.549106,1.138463,1.131726,1.11642,1.097022,1.136214,1.087989,1.488177,1.073419,1.120992,1.090118,1.07134,1.098013,1.076504,1.47962,1.447719,1.407718,1.403718,1.354943,1.380365,1.374972,1.394484,1.38538,1.530867,1.415057,1.42036,1.423463,1.414243,1.43117,1.420242,1.427891,1.412256,1.439258,1.433226,1.41509,1.411708,1.410847,1.403575,1.418459,1.445662,1.427103,1.418147,1.413363,1.399926,1.402558,1.181439,1.226329,1.199976,1.216761,1.187656,1.191309,1.191162,1.171843,1.17858,1.416488,1.432807,1.422536,1.462225,1.203649,1.194389,1.231185,1.206759,1.198041,1.225893,1.192314,1.189284,1.431082,1.179306,1.417421,1.430237,1.391678,1.430873,1.437304,1.197665,1.196701,1.204118,1.402669,1.381048,1.407248,1.419195,1.446635,1.472825,1.203337,1.202837,1.178038,1.182832,1.198075,1.193926,1.205616,1.210014,1.236281,1.217191,1.181047,1.156361,1.170889,1.186576,1.208189,1.209512,1.398834,1.418539,1.41618,1.436247,1.442159,1.420791,1.422181,1.182686,,,,,,,
6,1.720262,1.734919,1.721436,1.750113,1.625386,1.316032,1.255268,1.271262,1.101787,1.256891,1.101091,1.066163,1.099462,1.082783,1.082566,1.064765,1.349734,1.368478,1.277849,1.273015,1.246951,1.10902,1.078789,1.083256,1.082131,1.0976,1.093953,1.086794,1.410453,1.186142,1.092579,1.082287,1.06671,1.10691,1.096583,1.07844,1.110669,1.134971,1.068483,1.077926,1.066775,1.071512,1.080021,1.12276,1.080492,1.075681,1.066071,1.1,1.062008,1.070091,1.080528,1.062764,1.079029,1.104068,1.07045,1.066747,1.08062,1.076195,1.116144,1.062693,1.074236,1.078621,1.235206,1.222173,1.250377,1.09301,1.25758,1.101926,1.263636,1.274927,1.262393,1.265391,1.280697,1.269727,1.287812,1.243272,1.292598,1.277187,1.279781,1.283885,1.266113,1.266118,1.322705,1.264177,1.217771,1.264415,1.264815,1.231428,1.272999,1.277326,1.282319,1.242902,1.265903,1.274032,1.254097,1.232164,1.251217,1.268142,1.172289,1.112607,1.134419,1.180407,1.183681,1.245649,1.180986,1.083654,1.250418,1.063665,1.062698,1.091366,1.093037,1.118023,1.08029,1.087863,1.275889,1.114163,1.226173,1.245964,1.249876,1.255696,1.275985,1.168223,1.151865,1.132113,1.13455,1.127354,1.127378,1.162884,1.137623,1.166318,1.118584,1.12324,1.192294,1.18333,1.127715,1.141569,1.172633,1.175591,1.168918,1.164512,1.169154,1.175281,1.127222,,,,,,,
7,1.219389,1.936316,1.909728,1.931892,1.331882,1.344004,1.325821,1.351631,1.323004,1.264173,1.266312,1.263077,1.30083,1.257716,1.277564,1.275177,1.170787,1.142781,1.177269,1.178701,1.167774,1.174822,1.148944,1.172186,1.167868,1.174767,1.194301,1.207501,1.185739,1.160956,1.184112,0.960983,1.008373,0.995333,1.019025,0.996266,0.994337,1.195644,1.175289,0.989917,0.98622,1.019272,1.148271,0.963008,1.0432,1.005139,0.986523,1.191278,1.002295,1.180548,1.189034,0.995807,1.153861,1.033363,0.984581,0.987335,0.976435,0.973868,1.005171,1.01566,0.985799,0.973258,0.997735,0.988165,1.002774,1.013423,1.00167,1.019418,1.008802,0.999859,1.015098,0.976497,0.991144,0.995651,0.985783,1.020679,0.983178,1.007296,0.981406,0.994052,0.968547,1.001536,1.008122,0.992482,1.018188,1.014631,0.988024,1.004589,1.010549,1.010091,1.00819,1.001712,1.007092,1.01673,0.987984,0.985385,1.014154,1.025526,1.003887,0.972613,0.986438,1.013186,0.999505,0.998899,1.006999,1.038742,1.052745,1.053243,1.038057,1.025793,1.065111,1.063179,1.05175,1.003505,1.058771,1.057188,1.0364,1.033866,1.0587,1.062907,1.038387,1.035295,1.074111,1.074835,1.065357,1.052346,1.021747,1.062962,1.053308,1.062658,1.029976,1.074494,1.044474,1.055793,1.0672,1.054308,1.022588,1.068415,1.013974,1.058681,1.064391,1.013328,1.065899,,,,,,,
8,2.357386,1.592227,1.659347,1.465214,1.468832,1.433075,1.515569,1.489906,1.502977,1.417126,1.462284,1.458884,1.450259,1.46182,1.465128,1.48682,1.498437,1.023637,1.010957,0.977423,1.000252,1.024627,0.990606,0.996549,0.990839,1.004128,0.983966,0.98034,0.967548,1.303333,1.016673,0.992556,1.46359,0.938878,1.464062,1.463404,1.00976,0.972318,1.444374,1.007862,0.987811,1.470273,0.975095,1.012694,0.972675,1.009995,1.027155,1.026044,0.998144,0.95406,0.988049,0.985143,1.017112,1.003777,1.000561,0.98522,1.038619,1.004839,0.99073,0.991234,1.009894,1.005848,0.988479,1.012733,0.968614,1.009429,0.962249,0.980699,1.043271,0.987663,1.009278,1.0229,0.988618,0.976843,1.009097,0.998689,0.985141,0.999731,1.027049,0.96619,0.968022,0.987285,1.019238,0.979385,1.017258,1.010999,0.996365,0.991563,0.988109,0.988071,0.997416,0.991535,1.008589,0.991367,0.988893,1.01068,1.386704,0.984198,1.018779,0.997005,1.001123,0.948505,0.995616,0.995292,1.031232,0.996693,0.993536,1.03439,0.995888,0.975267,1.008216,0.988666,1.349589,1.351987,0.965684,1.357837,1.353219,1.417216,1.364206,1.359848,1.395582,1.45731,1.431512,1.392598,1.45776,1.436095,1.399368,1.392981,1.369522,1.366426,1.368394,1.36973,1.350306,1.37662,1.371743,1.383069,1.347396,1.380332,1.422123,1.350155,1.330293,1.343653,1.358631,,,,,,,
9,1.590902,1.532886,1.497744,1.520931,1.182503,1.182326,1.162518,1.147364,1.187729,1.069478,1.083808,1.099006,1.074948,1.092541,1.049948,1.070396,1.086355,1.035983,1.086186,1.096477,1.083329,1.085196,1.097995,1.116978,1.09311,1.080283,1.092082,1.056644,1.069092,1.077972,1.070645,1.076105,1.114681,1.106848,1.125634,1.127462,1.096104,1.107461,1.124049,1.113094,1.123042,1.111755,1.25209,1.231399,1.219606,1.089289,1.10236,1.12903,1.122396,1.10846,1.126128,1.103216,1.257323,1.104957,1.102608,1.081792,1.130953,1.257987,1.253249,1.24032,1.085564,1.20482,1.264269,1.231922,1.240243,1.206839,1.249282,1.179977,1.239262,1.20592,1.206794,1.21799,1.197641,1.207011,1.187866,1.232102,1.248526,1.219527,1.204369,1.206755,1.218428,1.236091,1.203865,1.200562,1.179021,1.214065,1.200994,1.244649,1.247999,1.233428,1.223067,1.234704,1.211707,1.220501,1.251885,1.230986,1.187436,1.207027,1.216111,1.230532,1.23051,1.221104,1.217802,1.203563,1.21197,1.214996,1.231946,1.231188,1.214654,1.256959,1.203152,1.23081,1.214928,1.196649,1.209363,1.239195,1.230008,1.204393,1.242044,1.277589,1.212922,1.212109,1.263431,1.225697,1.197486,1.231641,1.210078,1.260802,1.246072,1.247879,1.210295,1.253333,1.2352,1.243466,1.212277,1.195769,1.231792,1.178953,1.194179,1.189501,1.235112,1.207864,1.226163,,,,,,,
