Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,2.475809,2.474696,1.326739,1.30583,1.310061,1.179849,1.259891,0.903215,0.875327,0.873258,0.638428,0.648379,0.660993,0.65384,0.67888,0.64017,0.827313,0.838738,0.881627,0.887613,0.675274,0.664779,0.663239,0.869407,0.874298,0.918752,0.888481,0.869894,0.859801,0.867469,0.856058,0.904246,0.886776,0.946561,0.628936,0.853417,0.859578,0.872528,0.65039,0.883817,0.871973,0.902441,0.886051,0.85528,1.134563,1.135936,0.9484,0.974387,0.935463,0.968493,0.934715,0.953454,0.965743,0.784292,0.956714,0.959866,0.961179,0.959595,0.947462,0.914667,0.939296,0.78207,0.956331,0.878344,0.881825,0.768962,0.806756,0.800923,0.970545,0.862459,0.65876,0.542697,0.535003,0.595307,0.595214,0.633441,0.660746,0.504411,0.647013,0.660752,0.669369,0.630233,0.514101,0.526054,0.512282,0.651981,0.634045,0.530123,0.64146,0.549029,0.5469,0.642716,0.527524,0.513531,0.518902,0.631627,0.534652,0.488396,0.527147,0.51552,0.514741,0.62857,0.648548,0.534545,0.555828,0.514393,0.543652,0.51966,0.520113,0.537272,0.506016,0.536782,0.508143,0.501873,0.527644,0.519023,0.554631,0.512044,0.515209,0.521243,0.529984,0.517976,0.522782,0.513483,0.544863,0.539103,0.501541,0.518043,0.515496,0.522118,0.539432,0.550593,0.536519,0.540185,0.551298,0.490602,0.521052,0.528171,0.537962,0.487468,0.534687,0.540244,0.55303,,,,,,,
1,3.606307,2.00797,2.015468,2.021755,1.982305,1.954654,2.014356,1.984009,0.845925,1.23896,1.219054,1.190865,1.201652,1.211552,0.917303,0.922828,1.203959,1.007416,0.912711,1.152867,1.121943,1.514716,1.550527,1.521777,0.827113,1.53987,1.502321,1.587874,1.557905,1.530763,1.088964,1.066436,1.085711,1.087536,1.090214,1.096821,1.097074,1.018145,0.994376,1.067196,1.099859,1.092733,1.065358,1.09249,1.117335,1.103002,0.673404,0.67577,0.685797,0.6676,0.702606,0.705855,0.666507,0.658734,0.702329,0.65184,0.680283,0.684299,0.654128,0.698178,0.690422,0.670969,0.663543,0.664388,0.649329,0.67432,0.655775,0.711504,0.659814,0.699523,0.690323,0.691679,0.677631,0.675606,0.702487,0.713381,0.67576,0.715376,0.695036,0.653292,0.658168,0.681992,0.66393,0.680221,0.675821,0.698584,0.654939,0.676674,0.712574,0.664752,0.664656,0.462774,0.440225,0.45627,0.446507,0.450075,0.471484,0.441916,0.477959,0.434964,0.433742,0.442367,0.433912,0.463353,0.438403,0.428224,0.437389,0.449392,0.462216,0.440984,0.41623,0.455729,0.430072,0.461552,0.435514,0.449686,0.481321,0.415134,0.438887,0.450388,0.434659,0.435163,0.447981,0.456435,0.452796,0.426944,0.465928,0.421146,0.631343,0.446935,0.460101,0.451178,0.479565,0.44058,0.439358,0.462341,0.439844,0.457506,0.416527,0.448284,0.439137,0.421732,0.467792,,,,,,,
2,1.651129,1.657938,0.816789,1.774363,0.835894,0.621265,0.761115,0.750012,0.754168,0.793861,0.779195,0.784494,0.750595,0.749256,0.779842,0.740015,0.721621,0.825205,0.835103,0.546147,0.556059,0.570509,0.562445,0.577821,0.549953,0.553858,0.518441,0.55885,0.550897,0.55437,0.595434,0.540219,0.547835,0.575787,0.546878,0.554159,0.54974,0.550801,0.560405,0.550754,0.586472,0.552538,0.515946,0.557527,0.56239,0.560343,0.542042,0.535643,0.554614,0.547137,0.583034,0.565949,0.568247,0.601096,0.625728,0.630774,0.643081,0.627442,0.61272,0.556684,0.59251,0.591877,0.290147,0.293212,0.308954,0.278199,0.285756,0.270092,0.298304,0.271377,0.286219,0.296025,0.289529,0.279564,0.627628,0.280937,0.256136,0.274014,0.297554,0.28258,0.254991,0.272759,0.263209,0.258457,0.269308,0.302617,0.29474,0.282421,0.368855,0.61321,0.364519,0.303323,0.318096,0.37066,0.299492,0.290416,0.284281,0.355242,0.348954,0.347912,0.365295,0.374553,0.367024,0.390727,0.347627,0.333394,0.362925,0.356097,0.347848,0.354365,0.353164,0.34037,0.284422,0.387244,0.366397,0.287467,0.279729,0.369885,0.3668,0.303562,0.38641,0.361084,0.361156,0.333914,0.361337,0.356109,0.34083,0.351712,0.358363,0.341298,0.341556,0.37339,0.397079,0.380362,0.34135,0.356993,0.344394,0.3511,0.367779,0.356,0.380235,0.373514,0.346652,,,,,,,
3,2.949811,2.982622,2.967192,1.628078,1.642445,1.09856,1.091342,1.788948,1.091137,1.103721,1.078796,1.064642,1.062284,1.055504,1.060776,0.902338,1.080801,1.110858,1.010732,1.020196,1.036855,1.031032,1.038443,1.032827,1.024557,1.042472,1.100445,1.066207,1.082432,1.088834,1.114056,1.088579,1.06009,1.07973,1.036417,1.068752,1.06625,1.101708,1.06488,1.06441,1.105943,1.090204,1.102127,1.06401,0.983102,1.084677,1.062635,1.024728,1.020177,0.986978,0.946876,1.021012,1.006278,1.004752,0.998505,1.018604,0.997204,0.966403,0.93933,0.950808,0.976147,0.997902,0.993434,0.949964,0.996365,0.980542,0.989231,0.975743,0.996239,0.97876,1.024178,0.6801,0.986757,0.668134,0.68349,0.696188,0.694067,0.688011,0.698175,0.697553,0.677839,0.668607,0.683244,0.69669,0.691104,0.695613,0.714678,0.679377,0.706965,0.690386,0.698186,0.706653,0.684938,0.704033,0.661225,0.706594,0.675386,0.671028,0.694858,0.68252,0.686209,0.689736,0.695548,0.703785,0.685891,0.687728,0.695268,0.552689,0.563287,0.681671,0.673468,0.690223,0.703777,0.681291,0.7099,0.701785,0.687088,0.688884,0.703512,0.695012,0.719779,0.676384,0.730624,0.548636,0.539624,0.680252,0.561159,0.584419,0.693832,0.668748,0.547771,0.681156,0.421822,0.367597,0.408034,0.414729,0.423458,0.424852,0.384734,0.427749,0.414402,0.416857,0.408337,,,,,,,
4,3.098606,1.49109,1.501942,1.489794,1.332786,1.20826,0.935322,0.968307,0.939526,0.670641,0.669105,0.915581,0.752775,0.724415,0.715098,0.733333,0.726551,0.726855,0.815685,0.834072,0.719451,0.713658,0.743748,0.720924,0.695963,0.701078,0.725772,0.726362,0.725625,0.760288,0.709942,0.71036,0.589447,0.510052,0.717719,0.499459,0.504066,0.528465,0.555058,0.479106,0.461419,0.474278,0.492561,0.456344,0.494792,0.485919,0.474055,0.489182,0.516415,0.543492,0.481452,0.443776,0.469941,0.480243,0.461537,0.477108,0.448724,0.456347,0.478192,0.475702,0.466041,0.456169,0.471773,0.461468,0.456727,0.470569,0.471757,0.462535,0.460607,0.449234,0.483428,0.459427,0.467379,0.456395,0.469762,0.465011,0.447408,0.467287,0.453351,0.486162,0.465129,0.472732,0.45818,0.446076,0.43082,0.429865,0.400151,0.411843,0.457305,0.387074,0.425866,0.410262,0.421259,0.393927,0.408377,0.437882,0.434114,0.447745,0.396491,0.431081,0.432875,0.411864,0.442286,0.400648,0.426197,0.404759,0.426503,0.424158,0.414394,0.425723,0.363661,0.350222,0.365718,0.35427,0.35242,0.397198,0.381608,0.374912,0.353312,0.414307,0.378894,0.391679,0.361393,0.358785,0.36123,0.369492,0.372754,0.403366,0.349641,0.371709,0.364644,0.353123,0.359216,0.358151,0.671907,0.370161,0.648692,0.36765,0.386239,0.358258,0.360415,0.387614,0.402369,,,,,,,
5,0.681075,0.707504,0.705722,1.556296,1.530993,1.539137,1.564139,1.75403,1.75806,1.751377,1.76661,1.742674,1.722744,1.751864,1.757264,1.745388,1.752343,1.771882,1.751454,1.738205,1.762546,1.667056,1.683994,1.534512,1.669588,1.697205,1.531414,1.541805,1.674297,1.684048,1.66089,1.695717,1.693365,0.902438,0.893566,0.866868,0.885047,0.601501,0.598593,0.620013,0.60615,0.600101,0.937227,0.959365,0.970624,0.966732,0.950314,0.407085,0.970293,0.711717,0.943673,0.458425,0.434916,0.430201,0.424803,0.442243,0.403011,0.42632,0.463822,0.43921,0.411136,0.417544,0.455691,0.447706,0.447686,0.729079,0.447852,0.417462,0.447784,0.432734,0.434206,0.454605,0.444012,0.417009,0.435318,0.423655,0.43838,0.404971,0.420136,0.421799,0.43037,0.47432,0.419554,0.451667,0.431537,0.429777,0.396656,0.421308,0.422487,0.433258,0.450711,0.42778,0.428596,0.431579,0.425794,0.45351,0.448584,0.416124,0.442372,0.420064,0.426725,0.414584,0.439512,0.431235,0.425803,0.442728,0.417151,0.433907,0.440403,0.460773,0.488733,0.411119,0.464264,0.471177,0.42031,0.442632,0.445399,0.421961,0.433188,0.45526,0.438674,0.410177,0.432292,0.414519,0.443854,0.410346,0.424581,0.448501,0.434255,0.442535,0.439169,0.424495,0.419022,0.418695,0.40481,0.439567,0.414049,0.441118,0.423976,0.432085,0.42808,0.455342,0.414231,,,,,,,
6,1.755058,1.75111,1.38773,1.405653,1.412526,1.700511,1.256286,1.071298,1.218371,0.70787,0.694143,0.698822,1.089845,1.243318,1.26447,1.236542,0.68953,0.848072,1.087879,1.243132,0.841159,1.162015,0.86169,0.832762,0.884369,0.920994,0.809007,0.855348,0.837402,0.839229,0.840245,0.823777,1.234429,1.263797,0.575681,0.606133,0.581842,0.579191,0.591827,0.551245,0.592286,0.608228,0.556139,0.591892,0.585831,0.851748,0.565436,0.573584,0.560682,0.596318,0.577094,0.409634,0.414286,0.42926,0.427122,0.414387,0.427938,0.418321,0.599527,0.43399,0.435199,0.424972,0.421656,0.395681,0.398577,0.423722,0.443732,0.417696,0.419166,0.412142,0.408581,0.423098,0.441856,0.42951,0.380784,0.457559,0.448207,0.419109,0.401689,0.447629,0.42657,0.422854,0.413992,0.42759,0.440811,0.453111,0.458623,0.449653,0.46357,0.452761,0.433544,0.430909,0.452904,0.44629,0.442604,0.428331,0.434698,0.441599,0.459524,0.462187,0.465283,0.450667,0.45477,0.436565,0.454284,0.445661,0.454075,0.464339,0.457693,0.433453,0.437618,0.44951,0.454387,0.490283,0.441065,0.450248,0.46141,0.448822,0.453548,0.449903,0.440435,0.431553,0.47056,0.430654,0.448556,0.458739,0.464573,0.438143,0.455949,0.46118,0.461626,0.434661,0.471311,0.443893,0.454027,0.450064,0.46731,0.429003,0.420511,0.410959,0.410299,0.439565,0.409618,,,,,,,
7,1.708085,0.845737,2.985122,2.281997,1.884979,1.863793,1.853707,2.401249,1.879557,1.843202,1.857132,1.848237,1.804299,1.128008,0.679596,1.186686,1.172417,1.170302,1.221119,1.194281,1.187395,1.193069,1.172434,0.709062,1.192734,1.168579,1.383362,0.657903,0.691005,0.686182,0.664853,0.702496,0.697375,0.71099,0.667035,0.681051,1.185163,0.720235,1.184264,1.201945,1.157753,0.705924,1.3552,0.571774,0.54248,0.562852,0.594741,0.585296,0.58149,0.550021,0.587589,0.586678,0.594731,0.58975,0.657012,0.68341,0.712454,0.668093,0.652057,0.700067,0.399665,0.402632,0.408028,0.399803,0.67712,0.689502,0.702492,0.383551,0.701828,0.688579,0.394559,0.375029,0.382947,0.680519,0.431125,0.689619,0.714789,0.659319,0.722634,0.669896,0.707209,0.715627,0.682676,0.380528,0.691673,0.382258,0.677424,0.39035,0.403592,0.902251,0.929809,0.410394,0.383269,0.403606,0.28072,0.381503,0.402353,0.364418,0.417108,0.409762,0.291058,0.401094,0.425157,0.396693,0.274799,0.276697,0.260695,0.287753,0.319599,0.310909,0.294741,0.304097,0.297313,0.308354,0.705018,0.301388,0.604463,0.586698,0.561876,0.540731,0.293071,0.56356,0.30314,0.590856,0.589726,0.557406,0.565173,0.588253,0.303418,0.593156,0.334047,0.334667,0.322346,0.277912,0.854761,0.847132,0.333603,0.831311,0.312228,0.848752,0.846642,0.874976,0.845083,,,,,,,
8,1.268757,1.263724,1.302568,1.284106,1.132191,1.296184,1.412835,1.377211,1.26145,1.440403,1.399477,1.384109,1.373731,0.747052,0.780137,0.771097,0.782667,0.71765,0.711231,0.723635,0.714683,0.777688,0.73125,0.703013,0.702499,0.744192,0.696438,0.694138,0.726482,0.700498,0.719055,0.731134,0.723849,0.717127,0.713648,0.70114,0.735145,0.70919,0.728205,0.724174,0.713554,0.689733,0.750031,0.707778,0.725079,0.696834,0.743694,0.717316,0.708059,0.731436,0.707378,0.709468,0.709413,0.713411,0.747832,0.732654,0.719752,0.737482,0.605108,0.609778,0.600876,0.586477,0.592527,0.743976,0.728206,0.686263,0.683309,0.731208,0.712565,0.74854,0.736199,0.411253,0.442488,0.411809,0.387462,0.405562,0.284817,0.292212,0.318856,0.282664,0.300126,0.276443,0.300652,0.327033,0.303067,0.304487,0.306164,0.327359,0.309468,0.309159,0.305848,0.327944,0.324877,0.290719,0.32088,0.334637,0.309167,0.290518,0.299984,0.317103,0.354895,0.312437,0.281914,0.303465,0.288045,0.291178,0.291774,0.27929,0.300236,0.290841,0.312879,0.318056,0.307634,0.335336,0.328049,0.274909,0.282765,0.303212,0.297631,0.302662,0.323833,0.294612,0.314468,0.285541,0.309026,0.304115,0.294423,0.282707,0.336182,0.292174,0.317182,0.291564,0.29294,0.289206,0.322383,0.310305,0.329963,0.298212,0.303582,0.291832,0.287176,0.296124,0.300127,,,,,,,
9,2.395376,2.048826,1.511159,1.511747,1.526247,2.287006,1.534527,1.282921,1.286359,1.251697,1.333487,1.278462,1.303622,1.556477,1.306349,0.654304,1.156497,0.691262,0.682026,0.714237,1.543612,1.531582,1.505594,0.65506,0.65957,0.667844,1.148407,0.666635,1.152362,1.035118,0.707526,0.719374,0.691797,0.694785,0.710238,0.683964,0.692346,0.721863,0.686711,0.685582,0.698182,0.728928,0.709959,0.694748,0.666204,0.636966,0.659359,0.651956,0.670155,0.616757,0.359444,0.633979,0.650622,0.696519,0.674883,0.663974,0.628167,0.65753,0.663335,0.660695,0.629999,0.592256,0.640792,0.64434,0.654279,0.569407,0.586174,0.590638,0.60204,0.588734,0.59078,0.599334,0.635877,0.637678,0.660534,0.575715,0.63792,0.64711,0.652516,0.634162,0.625611,0.644229,0.648714,0.641532,0.648538,0.658094,0.668917,0.650614,0.611734,0.652032,0.653941,0.65043,0.646557,0.657872,0.383208,0.38713,0.370186,0.433806,0.404934,0.392017,0.36951,0.358018,0.41618,0.385681,0.434582,0.434801,0.400238,0.386001,0.38056,0.36735,0.401073,0.369793,0.400511,0.372704,0.385988,0.452014,0.387356,0.434432,0.370761,0.38283,0.389058,0.432498,0.395791,0.350347,0.395675,0.376763,0.39836,0.692004,0.640944,0.351709,0.658694,0.631254,0.393466,0.676133,0.395764,0.660764,0.380861,0.677445,0.651445,0.675131,0.383877,0.374805,0.396337,,,,,,,
