算法名称,平均名次,平均优化结果,平均用时(秒)
smallest,4.000000,55.970132,0.000083
cluster,5.000000,56.321773,0.000452
improvement,3.000000,55.771311,0.095165
SAA,2.000000,55.371680,7.734949
CTO_mult,1.000000,55.259280,0.753530
#best 50/8

smallest,2.930000,54.187895,0.000097
cluster,5.000000,54.695041,0.000473
improvement,2.970000,54.188306,0.297652
SAA,2.970000,54.196233,17.267376
CTO_mult,1.130000,54.130973,2.415426
#best 50/16

smallest,4.000000,51.714500,0.000090
cluster,5.000000,52.224377,0.000456
improvement,3.000000,51.681181,0.093226
SAA,2.000000,50.894062,7.326319
CTO_mult,1.000000,50.747052,0.916912
#random 50/8

smallest,4.000000,50.479585,0.000102
cluster,5.000000,51.541380,0.000468
improvement,3.000000,50.398653,0.293613
SAA,1.930000,49.732320,16.336153
CTO_mult,1.070000,49.628656,2.787728
#random 50/16

smallest,5.000000,58.315560,0.000087
cluster,4.000000,58.027883,0.000460
improvement,3.000000,57.254256,0.093614
SAA,2.000000,56.480141,7.341944
CTO_mult,1.000000,56.296399,0.880143
#worst 50/8

smallest,4.000000,55.435115,0.000094
cluster,3.000000,55.165061,0.000468
improvement,5.000000,55.481297,0.293204
SAA,1.570000,54.800857,16.335102
CTO_mult,1.430000,54.799492,2.784767
#worst 50/16

smallest,3.100000,50.745815,0.000094
cluster,5.000000,51.166943,0.001892
improvement,3.330000,50.746166,0.537188
SAA,2.530000,50.728602,45.133925
CTO_mult,1.030000,50.675483,4.910328
#best 200/10

smallest,3.970000,49.640814,0.000104
cluster,5.000000,50.638739,0.001981
improvement,2.730000,49.487970,2.114123
SAA,2.270000,49.455041,103.103202
CTO_mult,1.030000,49.369758,18.625479
#best 200/20

smallest,5.000000,47.548530,0.000130
cluster,4.000000,46.949951,0.001904
improvement,3.000000,45.733474,0.516440
SAA,2.000000,45.270786,42.423984
CTO_mult,1.000000,45.120669,5.283906
#random 200/10

smallest,4.000000,44.661453,0.000111
cluster,5.000000,44.726859,0.001946
improvement,2.830000,43.559126,2.031915
SAA,1.970000,43.450718,96.888575
CTO_mult,1.200000,43.352325,22.086731
#random 200/20

smallest,4.000000,53.447093,0.000094
cluster,5.000000,56.061331,0.001904
improvement,2.800000,52.513632,0.523847
SAA,2.200000,52.485141,43.044132
CTO,1.000000,52.329542,8.513943
#worst 200/10

smallest,4.000000,52.056228,0.000104
cluster,5.000000,53.672980,0.001951
improvement,3.000000,50.832136,2.043271
SAA,1.800000,50.625107,97.206718
CTO_mult,1.200000,50.570113,20.194747
#worst 200/20
