smallest,cluster,improvement,SAA,CTO_mult
50.743226,51.167994,50.744032,50.724002,50.683200
50.738616,51.165528,50.739769,50.666784,50.666221
50.747661,51.171092,50.749209,50.725953,50.684001
50.745300,51.166847,50.746756,50.730576,50.669900
50.747683,51.165869,50.746865,50.690377,50.669793
50.740053,51.157754,50.737703,50.731092,50.665193
50.743908,51.170726,50.746087,50.726937,50.669552
50.743064,51.168691,50.747213,50.705738,50.670020
50.752444,51.172297,50.752163,50.673870,50.688859
50.740533,51.166351,50.742360,50.676362,50.670368
50.749748,51.164705,50.749481,50.727776,50.672807
50.757310,51.174175,50.756045,50.718012,50.680472
50.756849,51.174783,50.752438,50.760116,50.688704
50.746256,51.165120,50.742073,50.834159,50.684858
50.735430,51.159981,50.741102,50.735341,50.673794
50.743740,51.167830,50.745243,50.762072,50.670193
50.750568,51.173811,50.748624,50.682207,50.677604
50.748832,51.168590,50.744143,50.766249,50.682728
50.741303,51.160866,50.741988,50.700340,50.679208
50.738362,51.159649,50.740930,50.683565,50.662929
50.737724,51.161152,50.736494,50.742529,50.667119
50.744648,51.169273,50.745585,50.734914,50.684534
50.750929,51.173166,50.751113,50.695268,50.674608
50.745663,51.168998,50.749248,50.759524,50.676333
50.744649,51.157006,50.738497,50.731480,50.664463
50.747734,51.167847,50.748265,50.676576,50.672688
50.752567,51.171101,50.754589,50.736844,50.681099
50.747517,51.168974,50.753884,50.864684,50.676562
50.742935,51.160558,50.741684,50.745411,50.682078
50.749204,51.167556,50.751407,50.749315,50.674600
